Altium Designer Pick and Place Locations
D:\Radio\Jobe\dimmer220\Project Outputs for dimmer\Pick Place\Pick Place for dimmer.csv

========================================================================================================================
File Design Information:

Date:       24.11.23
Time:       13:26
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D5","MBRS540T3G","TopLayer","5.9750mm","68.8000mm","180","Diode Schottky 40V 5A Surface Mount SMC"
"D3","SMAJ36CA","TopLayer","23.8776mm","67.9500mm","270",""
"D2","SMAJ36CA","TopLayer","27.0250mm","67.9500mm","270",""
"D1","SMAJ36CA","TopLayer","30.1500mm","67.9500mm","270",""
"C10","0.047","TopLayer","24.6500mm","26.3000mm","180",""
"C9","0.01","TopLayer","24.6500mm","20.3000mm","360",""
"C7","18112 4.7 uF","TopLayer","25.2750mm","61.5750mm","180","Ceramic Capacitor"
"C6","470µF 35V","TopLayer","6.9250mm","59.8000mm","180","EEEFK1V471SV 470µF 35V Aluminum Electrolytic Capacitors Radial, Can - SMD 80mOhm @ 100kHz 2000 Hrs @ 105°C"
"C4","18112 4.7 uF","TopLayer","25.8000mm","55.3000mm","360","Ceramic Capacitor"
"C3","0603 0.1 uF","TopLayer","27.9750mm","49.6000mm","270","Ceramic Capacitor"
"C2","0603 0.1 uF","TopLayer","23.7500mm","43.1250mm","0","Ceramic Capacitor"
"C1","0603 0.1 uF","TopLayer","19.1500mm","43.1250mm","180","Ceramic Capacitor"
